epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.656214,0.83051,1.70901,1.22726,0.02326,0.21667,0.08972,0.04682,2.11599,4.78592,2.04553,0,0,0
2,0.947331,0.9823,2.4157,1.41394,0.05748,0.31667,0.12654,0.06198,2.0487,4.52945,2.00178,1.17822e-06,1.17822e-06,1.17822e-06
3,1.24293,1.38199,2.05237,1.66845,0.07349,0.56667,0.14023,0.05978,1.95218,4.23352,1.94028,2.33288e-06,2.33288e-06,2.33288e-06
4,1.56855,0.97735,1.61428,1.34638,0.0653,0.56667,0.13845,0.07683,1.88809,4.06026,1.87482,3.46397e-06,3.46397e-06,3.46397e-06
5,1.94817,1.1366,1.99784,1.57373,0.05822,0.56667,0.24481,0.14983,1.83755,3.86677,1.8197,4.5715e-06,4.5715e-06,4.5715e-06
6,2.3238,0.84275,1.53216,1.26626,0.39236,0.28333,0.26317,0.20426,1.84874,3.60383,1.79786,5.65548e-06,5.65548e-06,5.65548e-06
7,2.69276,0.93781,2.72219,1.37852,0.56425,0.26667,0.26765,0.20346,1.82459,3.35845,1.75508,6.71588e-06,6.71588e-06,6.71588e-06
8,3.07352,1.07649,3.11472,1.64767,0.6361,0.26667,0.28091,0.22193,1.79063,3.17744,1.70077,7.75273e-06,7.75273e-06,7.75273e-06
9,3.45702,1.2602,1.78636,1.5641,0.55287,0.36667,0.302,0.23236,1.77818,3.02133,1.63794,8.76602e-06,8.76602e-06,8.76602e-06
10,3.84917,1.00825,1.56653,1.45895,0.61098,0.3399,0.36424,0.2456,1.73557,2.8515,1.56944,9.75574e-06,9.75574e-06,9.75574e-06
11,4.21879,0.98287,1.26044,1.3762,0.63755,0.35833,0.39006,0.26672,1.64094,2.70193,1.53724,1.07219e-05,1.07219e-05,1.07219e-05
12,4.59192,1.07264,2.0243,1.32888,0.71384,0.36179,0.43658,0.30118,1.61383,2.56191,1.50659,1.16645e-05,1.16645e-05,1.16645e-05
13,4.96855,0.96025,1.66367,1.2684,0.71962,0.35776,0.49917,0.34705,1.59433,2.41516,1.49267,1.25835e-05,1.25835e-05,1.25835e-05
14,5.3507,1.01824,1.31034,1.39716,0.72189,0.35633,0.50854,0.36727,1.62013,2.30113,1.4952,1.3479e-05,1.3479e-05,1.3479e-05
15,5.73434,0.98687,1.70392,1.41399,0.6691,0.39818,0.52508,0.37122,1.61332,2.22532,1.47349,1.43509e-05,1.43509e-05,1.43509e-05
16,6.11406,1.0382,1.16597,1.40759,0.67026,0.41027,0.53358,0.37003,1.67479,2.1015,1.49472,1.51993e-05,1.51993e-05,1.51993e-05
17,6.47369,0.96907,1.79771,1.39563,0.66964,0.42959,0.55099,0.38783,1.67815,2.00257,1.49568,1.60241e-05,1.60241e-05,1.60241e-05
18,6.82181,0.78464,1.18529,1.17106,0.66964,0.42959,0.55099,0.38783,1.67815,2.00257,1.49568,1.68253e-05,1.68253e-05,1.68253e-05
19,7.20645,0.90092,1.202,1.41948,0.68525,0.41318,0.58041,0.42123,1.67322,1.83271,1.5064,1.7603e-05,1.7603e-05,1.7603e-05
20,7.54857,1.20873,1.5094,1.54419,0.68525,0.41318,0.58041,0.42123,1.67322,1.83271,1.5064,1.83571e-05,1.83571e-05,1.83571e-05
21,7.9248,0.91401,1.16754,1.3773,0.65872,0.43414,0.66886,0.47588,1.65962,1.76217,1.4992,1.90876e-05,1.90876e-05,1.90876e-05
22,8.26962,0.84243,1.32907,1.28353,0.65872,0.43414,0.66886,0.47588,1.65962,1.76217,1.4992,1.97946e-05,1.97946e-05,1.97946e-05
23,8.6388,0.87333,1.03179,1.40902,0.66981,0.43333,0.67042,0.47572,1.65711,1.69828,1.49444,2.0478e-05,2.0478e-05,2.0478e-05
24,8.99247,0.53499,0.80011,1.0753,0.66981,0.43333,0.67042,0.47572,1.65711,1.69828,1.49444,2.11379e-05,2.11379e-05,2.11379e-05
25,9.37968,0.69259,0.93261,1.10424,0.6853,0.45,0.67384,0.47622,1.63712,1.63737,1.48641,2.17741e-05,2.17741e-05,2.17741e-05
26,9.72185,0.94713,0.97736,1.2288,0.6853,0.45,0.67384,0.47622,1.63712,1.63737,1.48641,2.23869e-05,2.23869e-05,2.23869e-05
27,10.0938,0.91057,0.97505,1.27941,0.85058,0.45,0.78997,0.57986,1.6305,1.52616,1.47844,2.2976e-05,2.2976e-05,2.2976e-05
28,10.4386,0.99358,0.95061,1.27598,0.85058,0.45,0.78997,0.57986,1.6305,1.52616,1.47844,2.35417e-05,2.35417e-05,2.35417e-05
29,10.8317,0.83363,0.96766,1.31904,0.97195,0.36023,0.8499,0.58524,1.63042,1.45786,1.4709,2.40837e-05,2.40837e-05,2.40837e-05
30,11.2004,0.64764,0.59528,1.42761,0.97195,0.36023,0.8499,0.58524,1.63042,1.45786,1.4709,2.46022e-05,2.46022e-05,2.46022e-05
31,11.5891,0.89869,0.92644,1.28516,0.73105,0.46667,0.84873,0.56599,1.62363,1.40734,1.45516,2.50971e-05,2.50971e-05,2.50971e-05
32,11.9348,0.76382,1.07687,1.2445,0.73105,0.46667,0.84873,0.56599,1.62363,1.40734,1.45516,2.55685e-05,2.55685e-05,2.55685e-05
33,12.3041,0.73836,0.63983,1.16942,0.73179,0.63333,0.84746,0.56828,1.63027,1.36817,1.45872,2.60163e-05,2.60163e-05,2.60163e-05
34,12.6522,1.07193,0.82158,1.2718,0.73179,0.63333,0.84746,0.56828,1.63027,1.36817,1.45872,2.64405e-05,2.64405e-05,2.64405e-05
35,13.0299,0.68601,0.64798,1.0914,0.69045,0.63333,0.89359,0.56289,1.65056,1.37468,1.45999,2.68412e-05,2.68412e-05,2.68412e-05
36,13.3697,0.63276,0.81117,1.14156,0.69045,0.63333,0.89359,0.56289,1.65056,1.37468,1.45999,2.72183e-05,2.72183e-05,2.72183e-05
37,13.7369,1.0374,0.86598,1.59471,0.69101,0.63333,0.88976,0.55628,1.65586,1.37084,1.46076,2.75718e-05,2.75718e-05,2.75718e-05
38,14.0717,0.73797,0.70663,1.08717,0.69101,0.63333,0.88976,0.55628,1.65586,1.37084,1.46076,2.79018e-05,2.79018e-05,2.79018e-05
39,14.4464,0.56427,0.56514,0.97334,0.69743,0.63333,0.864,0.57104,1.65619,1.36275,1.45206,2.82082e-05,2.82082e-05,2.82082e-05
40,14.7936,0.77657,0.58368,1.22535,0.69743,0.63333,0.864,0.57104,1.65619,1.36275,1.45206,2.84911e-05,2.84911e-05,2.84911e-05
41,15.1708,0.67617,0.57072,1.08669,0.68823,0.62666,0.86265,0.57081,1.65934,1.37049,1.45495,2.87504e-05,2.87504e-05,2.87504e-05
42,15.5157,0.79772,0.62541,1.14374,0.68823,0.62666,0.86265,0.57081,1.65934,1.37049,1.45495,2.89861e-05,2.89861e-05,2.89861e-05
43,15.8944,0.57434,0.58635,1.13715,0.69907,0.61667,0.85849,0.56867,1.64854,1.35888,1.44302,2.91983e-05,2.91983e-05,2.91983e-05
44,16.2386,0.86235,1.2178,1.23175,0.69907,0.61667,0.85849,0.56867,1.64854,1.35888,1.44302,2.93869e-05,2.93869e-05,2.93869e-05
45,16.6168,0.611,0.59036,1.13779,0.6904,0.61667,0.87092,0.54884,1.64942,1.35622,1.44081,2.9552e-05,2.9552e-05,2.9552e-05
46,16.9579,0.80337,0.87579,1.19339,0.6904,0.61667,0.87092,0.54884,1.64942,1.35622,1.44081,2.96935e-05,2.96935e-05,2.96935e-05
47,17.328,0.76857,0.71321,1.1601,0.73585,0.6,0.86589,0.56206,1.67077,1.37019,1.44666,2.98114e-05,2.98114e-05,2.98114e-05
48,17.6672,0.71422,0.47384,1.18902,0.73585,0.6,0.86589,0.56206,1.67077,1.37019,1.44666,2.99058e-05,2.99058e-05,2.99058e-05
49,18.0442,0.70099,0.60842,1.11508,0.73882,0.59987,0.86594,0.54551,1.64794,1.37437,1.43314,2.99766e-05,2.99766e-05,2.99766e-05
50,18.3847,0.71003,0.58605,1.17102,0.73882,0.59987,0.86594,0.54551,1.64794,1.37437,1.43314,3.00238e-05,3.00238e-05,3.00238e-05
51,18.7689,0.80319,0.6129,1.14438,0.72428,0.6,0.86527,0.55527,1.63454,1.37447,1.42123,3.00475e-05,3.00475e-05,3.00475e-05
52,19.1123,0.65861,0.7795,1.05581,0.72428,0.6,0.86527,0.55527,1.63454,1.37447,1.42123,3.00476e-05,3.00476e-05,3.00476e-05
53,19.4553,0.6216,0.47047,1.0385,0.72428,0.6,0.86527,0.55527,1.63454,1.37447,1.42123,3.00242e-05,3.00242e-05,3.00242e-05
54,19.8278,0.59182,0.50454,1.18284,0.74358,0.59403,0.85915,0.55527,1.64651,1.3807,1.41521,2.99772e-05,2.99772e-05,2.99772e-05
55,20.168,0.55998,0.71884,1.02315,0.74358,0.59403,0.85915,0.55527,1.64651,1.3807,1.41521,2.99066e-05,2.99066e-05,2.99066e-05
56,20.5298,0.73026,0.53186,1.24356,0.74358,0.59403,0.85915,0.55527,1.64651,1.3807,1.41521,2.98125e-05,2.98125e-05,2.98125e-05
57,20.8985,0.6407,0.49355,1.0487,0.74893,0.59063,0.85878,0.55294,1.63724,1.3764,1.41364,2.96948e-05,2.96948e-05,2.96948e-05
58,21.2431,0.62645,0.58494,1.1675,0.74893,0.59063,0.85878,0.55294,1.63724,1.3764,1.41364,2.95535e-05,2.95535e-05,2.95535e-05
59,21.5922,0.76228,0.5022,1.07861,0.74893,0.59063,0.85878,0.55294,1.63724,1.3764,1.41364,2.93887e-05,2.93887e-05,2.93887e-05
60,21.9819,0.76933,0.69898,1.12462,0.72304,0.59031,0.86284,0.56516,1.63556,1.39758,1.40226,2.92003e-05,2.92003e-05,2.92003e-05
61,22.328,0.55046,0.55539,0.94246,0.72304,0.59031,0.86284,0.56516,1.63556,1.39758,1.40226,2.89884e-05,2.89884e-05,2.89884e-05
62,22.6762,0.47457,0.47004,0.94288,0.72304,0.59031,0.86284,0.56516,1.63556,1.39758,1.40226,2.87529e-05,2.87529e-05,2.87529e-05
63,23.0528,0.6583,0.73048,1.15596,0.71201,0.59322,0.86438,0.56396,1.62839,1.39956,1.40004,2.84938e-05,2.84938e-05,2.84938e-05
64,23.4007,0.67375,0.51192,1.18747,0.71201,0.59322,0.86438,0.56396,1.62839,1.39956,1.40004,2.82112e-05,2.82112e-05,2.82112e-05
65,23.7598,0.51014,0.37654,1.01528,0.71201,0.59322,0.86438,0.56396,1.62839,1.39956,1.40004,2.7905e-05,2.7905e-05,2.7905e-05
66,24.1335,0.53879,0.69549,1.00574,0.69865,0.59291,0.77754,0.47824,1.61635,1.40933,1.39073,2.75753e-05,2.75753e-05,2.75753e-05
67,24.4866,0.61101,0.74419,1.09696,0.69865,0.59291,0.77754,0.47824,1.61635,1.40933,1.39073,2.7222e-05,2.7222e-05,2.7222e-05
68,24.8718,0.67214,0.55799,1.07896,0.69865,0.59291,0.77754,0.47824,1.61635,1.40933,1.39073,2.68451e-05,2.68451e-05,2.68451e-05
69,25.2666,0.68373,0.474,1.09126,0.69749,0.59278,0.87435,0.55534,1.59735,1.41745,1.38216,2.64447e-05,2.64447e-05,2.64447e-05
70,25.6198,0.43562,0.39156,0.92978,0.69749,0.59278,0.87435,0.55534,1.59735,1.41745,1.38216,2.60207e-05,2.60207e-05,2.60207e-05
71,25.9769,0.55629,0.43599,1.02766,0.69749,0.59278,0.87435,0.55534,1.59735,1.41745,1.38216,2.55731e-05,2.55731e-05,2.55731e-05
72,26.3588,0.40486,0.34401,1.02037,0.71946,0.58496,0.78999,0.48107,1.60908,1.4387,1.39073,2.5102e-05,2.5102e-05,2.5102e-05
73,26.7054,0.639,0.48714,1.08824,0.71946,0.58496,0.78999,0.48107,1.60908,1.4387,1.39073,2.46073e-05,2.46073e-05,2.46073e-05
74,27.0525,0.49504,0.40997,1.06569,0.71946,0.58496,0.78999,0.48107,1.60908,1.4387,1.39073,2.40891e-05,2.40891e-05,2.40891e-05
75,27.436,0.59859,0.52858,1.01723,0.72148,0.58333,0.86906,0.54219,1.59817,1.43072,1.39168,2.35472e-05,2.35472e-05,2.35472e-05
76,27.7972,0.51453,0.4626,0.98348,0.72148,0.58333,0.86906,0.54219,1.59817,1.43072,1.39168,2.29819e-05,2.29819e-05,2.29819e-05
77,28.1574,0.60124,0.5185,1.04013,0.72148,0.58333,0.86906,0.54219,1.59817,1.43072,1.39168,2.23929e-05,2.23929e-05,2.23929e-05
78,28.5299,0.72407,0.52772,1.20623,0.76252,0.56335,0.78429,0.47154,1.60713,1.4419,1.3975,2.17805e-05,2.17805e-05,2.17805e-05
79,28.8756,0.54789,0.58498,1.06282,0.76252,0.56335,0.78429,0.47154,1.60713,1.4419,1.3975,2.11444e-05,2.11444e-05,2.11444e-05
80,29.2238,0.59336,0.44078,0.99501,0.76252,0.56335,0.78429,0.47154,1.60713,1.4419,1.3975,2.04848e-05,2.04848e-05,2.04848e-05
81,29.6065,0.50199,0.48305,1.05,0.78292,0.55,0.89081,0.55488,1.60273,1.43795,1.39783,1.98016e-05,1.98016e-05,1.98016e-05
